,Player,Min,PTS,LBR,Stl,TO,STPS,PPA,PP,VIO,GTID,WIN,DFO_mk,DFO_att,DFO_pct,OFO_mk,OFO_att,OFO_pct,FG_mk,FG_att,FG_pct,2PT_mk,2PT_att,2PT_pct,3PT_mk,3PT_att,3PT_pct,4PT_mk,4PT_att,4PT_pct,RA_mk,RA_att,RA_pct,Layup_mk,Layup_att,Layup_pct,Slam_mk,Slam_att,Slam_pct,Team,Pos,AST,HITS,PPFG
63,#77 Justin Holloway,13.82716049382716,-7.0416016737704705,-1.9570137187907062,1,-2.6077559935183237,-0.13359225269992964,0,0,0,52,1,0,0,0.0,0,0,0.0,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0.0,1,2,0.5,0,1,0.0,1,1,1.0,Mob,G,-0.19042897040609946,-1.2678796133588806,-7.393064096114556
64,#77 Justin Holloway,9.75609756097561,-7.0851022262666215,-1.7919696099481464,1,2.1600327920297544,-0.09425934206179705,2,0,1,62,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,2.1600631829016192,0.10541595224678295,0.0
65,#77 Justin Holloway,11.707317073170731,-3.5021226715199454,-0.3503635319377755,2,-0.20796064956429514,-0.11311121047415647,0,0,0,64,1,0,0,0.0,0,0,0.0,2,5,0.4,1,2,0.5,0,0,0.0,0,0,0.0,1,3,0.3333333333333333,0,2,0.0,1,1,1.0,Mob,G,-0.007924180518056404,-0.07350085730386054,-3.3328033984523944
66,#77 Justin Holloway,5.925925925925926,-0.30354357447305885,0.3041369776611259,0,-1.1176097115078532,-0.057253822585684136,0,0,1,72,1,0,1,0.0,0,0,0.0,2,6,0.3333333333333333,0,2,0.0,0,0,0.0,0,0,0.0,2,4,0.5,2,4,0.5,0,0,0.0,Mob,G,-0.510183844459757,0.4566230228461941,-3.66228320168578
67,#77 Justin Holloway,9.876543209876543,-5.172572624121765,1.1735616294352098,1,1.1373171474869117,-0.0954230376428069,0,2,1,77,1,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,1,1,1.0,0,0,0.0,Mob,G,1.1496935925670717,1.0943717047436567,7.064918943692424
68,#77 Justin Holloway,7.619047619047619,-5.5331274528939325,0.8196046855643049,0,0.5630732280613318,-0.07361205761016532,0,0,1,86,1,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,Mob,G,1.3440493428374551,0.30137245794510664,-9.78801491010394
69,#77 Justin Holloway,3.0,-2.178668934576986,3.1414693449409445,1,-0.5657899164508506,-0.028984747684002596,0,0,1,88,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,1.7417194287422482,2.7249154053158855,0.0
70,#77 Justin Holloway,12.682539682539682,-5.2103517392963585,1.3705502995122492,0,-0.39188435578957465,-0.12253340423025434,0,0,1,103,1,0,1,0.0,0,1,0.0,2,6,0.3333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,2,6,0.3333333333333333,2,4,0.5,0,2,0.0,Mob,G,0.908115468598181,2.8370762372877927,-7.837940030750727
71,#77 Justin Holloway,12.89108910891089,2.6381948751840403,-0.6891317256993057,0,-1.4312160766303876,-0.12454832173125867,0,0,0,104,1,0,0,0.0,0,1,0.0,5,8,0.625,0,0,0.0,0,0,0.0,0,0,0.0,5,8,0.625,3,6,0.5,2,2,1.0,Mob,G,1.8901607136053038,0.817953325812816,2.775748535144684
90,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
91,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,5,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
92,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,21,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
93,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,23,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
94,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,26,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
95,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,28,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
96,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,43,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
97,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,47,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
98,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,49,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
99,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,52,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
100,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,62,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
101,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,64,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
102,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,72,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
103,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,77,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
104,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,86,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
105,#91 Jordan Jones,0.0,0.0,0.0,0,0.0,0.0,0,0,0,88,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
106,#91 Jordan Jones,3.73015873015873,-2.708926982145988,0.9325147939741911,0,0.2965046012383605,-0.0360392365383101,0,4,2,103,1,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,Mob,G,0.6788574907641709,0.657963599202292,-4.792048966405053
107,#91 Jordan Jones,4.0,0.09510808723068509,-1.14470754007874,0,-0.7543865552678009,-0.03864633024533679,0,0,0,104,1,0,0,0.0,0,0,0.0,1,3,0.3333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,1,3,0.3333333333333333,0,2,0.0,1,1,1.0,Mob,G,-0.34437409501033595,-0.366779459578819,-1.1387078278045681
108,#25 Brandon Simpson,13.0,-3.440898716500273,0.2797004947440949,0,-1.4517563046203528,-0.1256005732973446,0,0,1,0,1,0,0,0.0,0,0,0.0,3,6,0.5,0,0,0.0,0,0,0.0,0,0,0.0,3,6,0.5,3,4,0.75,0,2,0.0,Mob,G,2.8807841912164083,-1.1920332436311618,-3.7008004403648465
109,#25 Brandon Simpson,12.0,-5.714675738307944,0.5658773797637795,0,-2.2631596658034026,-0.11593899073601038,0,0,0,5,1,0,1,0.0,0,0,0.0,1,3,0.3333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,1,3,0.3333333333333333,0,1,0.0,1,2,0.5,Mob,G,0.966877714968992,-0.10033837873645712,-3.4161234834137044
110,#25 Brandon Simpson,11.578947368421053,18.591102357773032,0.686372910298384,0,-0.1837505547225814,-0.11187095597334334,0,0,1,21,1,1,1,1.0,1,1,1.0,9,14,0.6428571428571429,0,0,0.0,0,0,0.0,0,1,0.0,9,13,0.6923076923076923,0,0,0.0,9,13,0.6923076923076923,Mob,G,0.003127619706922275,1.9382699854297347,7.455620197708582
111,#25 Brandon Simpson,13.493975903614457,-4.799635368378411,0.138336009372925,0,1.4550815003013946,-0.13037316227342532,0,0,0,23,1,0,0,0.0,0,0,0.0,2,6,0.3333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,2,6,0.3333333333333333,1,2,0.5,1,4,0.25,Mob,G,1.838256065025373,-0.2373282973743292,-6.090419981348743
